participant_id,program_name,age_group,enrollment_date,attendance_date,attended
19,Summer Camp,7-May,6/2/2024,6/4/2024,0
19,Summer Camp,7-May,6/2/2024,9/20/2024,1
19,Summer Camp,7-May,6/2/2024,6/24/2024,1
19,Summer Camp,7-May,6/2/2024,9/19/2024,1
19,Summer Camp,7-May,6/2/2024,9/16/2024,1
19,Summer Camp,7-May,6/2/2024,9/20/2024,1
19,Summer Camp,7-May,6/2/2024,9/18/2024,1
19,Summer Camp,7-May,6/2/2024,6/19/2024,1
19,Summer Camp,7-May,6/2/2024,7/9/2024,1
19,Summer Camp,7-May,6/2/2024,9/8/2024,1
19,Summer Camp,7-May,6/2/2024,9/24/2024,1
19,Summer Camp,7-May,6/2/2024,6/16/2024,1
19,Summer Camp,7-May,6/2/2024,8/4/2024,1
19,Summer Camp,7-May,6/2/2024,8/29/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,8/30/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,10/3/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,8/25/2024,0
20,Arts & Crafts,10-Aug,6/28/2024,8/22/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,8/25/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,10/14/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,9/5/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,10/6/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,7/30/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,8/19/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,7/19/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,7/18/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,9/5/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,9/5/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,10/24/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,10/17/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,7/1/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,9/29/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,9/10/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,8/28/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,8/28/2024,0
20,Arts & Crafts,10-Aug,6/28/2024,9/29/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,9/30/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,7/21/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,8/21/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,7/6/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,10/24/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,6/30/2024,0
20,Arts & Crafts,10-Aug,6/28/2024,10/20/2024,1
20,Arts & Crafts,10-Aug,6/28/2024,7/28/2024,0
21,Summer Camp,10-Aug,1/13/2024,4/5/2024,0
21,Summer Camp,10-Aug,1/13/2024,3/17/2024,1
21,Summer Camp,10-Aug,1/13/2024,3/15/2024,1
21,Summer Camp,10-Aug,1/13/2024,4/22/2024,1
21,Summer Camp,10-Aug,1/13/2024,3/25/2024,0
21,Summer Camp,10-Aug,1/13/2024,1/29/2024,1
22,STEM Club,10-Aug,3/18/2024,3/26/2024,1
22,STEM Club,10-Aug,3/18/2024,4/20/2024,1
22,STEM Club,10-Aug,3/18/2024,6/1/2024,1
22,STEM Club,10-Aug,3/18/2024,6/24/2024,1
22,STEM Club,10-Aug,3/18/2024,4/21/2024,1
22,STEM Club,10-Aug,3/18/2024,3/18/2024,1
22,STEM Club,10-Aug,3/18/2024,4/26/2024,1
22,STEM Club,10-Aug,3/18/2024,5/20/2024,1
22,STEM Club,10-Aug,3/18/2024,4/8/2024,1
22,STEM Club,10-Aug,3/18/2024,5/16/2024,1
22,STEM Club,10-Aug,3/18/2024,5/20/2024,1
22,STEM Club,10-Aug,3/18/2024,6/18/2024,1
22,STEM Club,10-Aug,3/18/2024,5/28/2024,1
22,STEM Club,10-Aug,3/18/2024,3/28/2024,1
22,STEM Club,10-Aug,3/18/2024,6/30/2024,1
23,After School Care,7-May,5/24/2024,9/11/2024,1
23,After School Care,7-May,5/24/2024,9/19/2024,1
23,After School Care,7-May,5/24/2024,7/28/2024,1
23,After School Care,7-May,5/24/2024,8/9/2024,1
23,After School Care,7-May,5/24/2024,7/15/2024,1
23,After School Care,7-May,5/24/2024,9/4/2024,0
23,After School Care,7-May,5/24/2024,9/4/2024,1
23,After School Care,7-May,5/24/2024,7/13/2024,0
23,After School Care,7-May,5/24/2024,7/1/2024,1
23,After School Care,7-May,5/24/2024,7/13/2024,1
23,After School Care,7-May,5/24/2024,8/1/2024,0
23,After School Care,7-May,5/24/2024,5/29/2024,1
23,After School Care,7-May,5/24/2024,7/29/2024,1
23,After School Care,7-May,5/24/2024,5/30/2024,1
23,After School Care,7-May,5/24/2024,7/13/2024,1
23,After School Care,7-May,5/24/2024,8/3/2024,1
23,After School Care,7-May,5/24/2024,7/4/2024,1
23,After School Care,7-May,5/24/2024,7/26/2024,1
23,After School Care,7-May,5/24/2024,9/16/2024,1
23,After School Care,7-May,5/24/2024,6/7/2024,1
23,After School Care,7-May,5/24/2024,9/11/2024,1
23,After School Care,7-May,5/24/2024,6/21/2024,1
23,After School Care,7-May,5/24/2024,6/25/2024,1
